"","book_id","literariness_read","author","title","genre","avg_sentence_length","sentence_length_variance"
"255",255,3.46666666666667,"Kingsbury, Karen","Nooit te laat","Fiction",12.5619,8.4935
"256",256,5.86245353159851,"Hart, Maarten 't","Verlovingstijd","Fiction",14.254,11.4009
"257",257,5.52083333333333,"Voskuijl, Anouschka","Dorp","Suspense",12.8463,8.8103
"258",258,4.08839779005525,"Baldacci, David","Die zomer","Fiction",10.4513,7.0273
"259",259,4.09090909090909,"Dijkzeul, Lieneke","Koude lente","Suspense",12.5137,9.301
"260",260,3.5375,"Patterson, James / Ledwige, Michael","Hitte","Suspense",12.0663,8.3746
"261",261,2.82857142857143,"Luiten, Hetty","Je blijft altijd welkom","Other",10.4282,7.349
"262",262,3.89513108614232,"Coben, Harlan","Levenslijn","Suspense",11.5161,8.5538
"263",263,3.37074829931973,"Montefiore, Santa","In de schaduw van het Palazzo","Romantic",12.199,8.2748
"264",264,6.26462765957447,"Enter, Stephan","Grip","Fiction",16.3422,12.889
"265",265,4.26813880126183,"Nesbø, Jo","Het pantserhart","Suspense",11.9496,9.0636
"266",266,4.22397476340694,"Dijkzeul, Lieneke","Verloren zoon","Suspense",11.1932,8.2273
"267",267,3.5,"Kingsbury, Karen","Laatste dans","Fiction",12.0885,8.4956
"268",268,3.86602870813397,"Hollander, Loes den","Glansrol","Suspense",10.5025,6.5495
"269",269,2.45283018867925,"Weisberger, Lauren","Chanel Chic","Romantic",14.467,11.5835
"270",270,6.0379746835443,"Wieringa, Tommy","Portret van een heer","Other",14.616,9.9834
"271",271,3.09090909090909,"Smeets, Mart","Een koud kunstje","Other",13.1931,9.2411
"272",272,2.56,"Fforde, Katie","Trouwplannen","Romantic",12.2622,8.6392
"273",273,5.6286231884058,"Yalom, Irvin D.","Het raadsel spinoza","Fiction",15.3024,11.3643
"274",274,5.01680672268908,"Meer, Vonne van der","Het zingen, het water, de peen","Fiction",14.327,9.6563
"275",275,5.40503672612802,"Hosseini, Khaled","Duizend schitterende zonnen","Fiction",12.6604,9.3103
"276",276,3.656,"Smith, Wilbur","Op volle zee","Suspense",12.7461,8.4743
"277",277,2.83333333333333,"Middelbeek, Mariette","Turbulentie","Romantic",10.6423,7.2998
"278",278,4.21192052980132,"Rendell, Ruth","De dief - Kattenkruid!","Suspense",10.5333,6.4047
"279",279,4.02180685358255,"Vlugt, Simone van der","Het laatste offer","Suspense",13.5282,7.9465
"280",280,5.3640350877193,"Cleave, Chris","Kleine Bij","Fiction",11.3977,8.4477
"281",281,3.72861356932153,"Gerritsen, Tess","De Mefisto Club","Suspense",10.9451,7.3187
"282",282,3.85590778097983,"Läckberg, Camilla","IJsprinses","Suspense",13.9077,8.5837
"283",283,5.75268817204301,"Winter, Leon de","Recht op terugkeer","Fiction",12.7542,10.7465
"284",284,3.22545454545455,"Child, Lee","61 Uur","Suspense",10.4714,8.3718
"285",285,3.85283018867925,"Hayder, Mo","Rot","Suspense",11.3487,8.5362
"286",286,4.125,"King, Stephen","Gevangen","Suspense",11.6829,8.6102
"287",287,3.84347826086957,"Casey, Jane","Spoorloos","Suspense",12.7108,8.8164
"288",288,4.71267605633803,"Fragoso, Margaux","Tijger, tijger","Fiction",12.9622,8.8109
"289",289,3.99038461538462,"Slaughter, Karin","Onaantastbaar","Suspense",12.9016,8.6099
"290",290,3.52631578947368,"McNab, Andy","Oorlogswond","Suspense",11.4064,7.2593
"291",291,3.2620320855615,"Rijn, Linda van","Blue Curacao","Suspense",10.0086,6.8794
"292",292,4.51409978308026,"Indriðason, Arnaldur","Doodskap","Suspense",12.4569,7.9974
"293",293,3.75280898876404,"Moelands, Kim","Weerloos","Suspense",10.2764,6.4006
