"","age.resp","books.per.year"
"953",40,25
"954",51,90
"955",68,40
"956",56,24
"957",59,2
"958",56,50
"959",42,15
"960",52,20
"961",64,40
"962",54,15
"963",18,5
"964",53,15
"965",24,8
"966",45,75
"967",57,35
"968",69,20
"969",27,30
"970",56,15
"971",62,15
"972",65,50
"973",60,15
"974",41,60
"975",70,15
"976",27,20
"977",69,25
"978",75,15
"979",27,40
"980",71,90
"981",60,60
"983",54,10
"984",29,15
"985",58,8
"986",62,20
"987",62,25
"988",60,50
"989",46,50
"990",36,300
"991",69,25
"992",45,12
"993",21,75
"994",70,40
"995",37,20
"996",57,5
"997",59,40
"998",42,6
"999",33,15
"1000",45,12
"1001",35,30
"1002",32,25
"1003",56,25
"1004",45,50
"1005",55,30
"1006",63,35
"1007",68,10
"1008",38,32
"1009",60,50
"1010",62,8
"1011",42,12
"1012",38,4
"1013",68,60
"1014",61,100
"1015",61,12
"1016",53,30
"1017",68,20
"1018",53,6
"1019",24,7
"1020",87,10
"1021",62,20
"1022",86,40
"1023",80,12
"1024",42,40
"1025",65,30
"1026",63,4
"1027",65,30
"1028",43,50
"1029",34,50
"1030",51,40
"1031",60,15
"1032",26,45
"1033",62,50
"1034",66,15
"1035",57,10
"1036",42,20
"1037",53,10
"1038",67,30
"1039",62,50
"1040",71,45
"1041",17,65
"1042",21,50
"1043",46,10
"1044",60,12
"1045",41,40
"1046",41,15
"1047",49,45
"1048",74,60
"1049",48,40
"1050",35,70
"1051",30,24
"1052",56,35
"1053",55,70
"1054",54,280
"1055",26,80
"1056",61,15
"1057",28,20
"1058",59,12
"1059",47,60
"1060",56,60
"1061",66,20
"1062",20,52
"1063",24,50
"1064",49,15
"1065",66,25
"1066",42,15
"1067",58,15
"1068",66,25
"1069",60,40
"1070",77,10
"1071",67,30
"1072",47,200
"1073",71,6
"1074",58,20
"1075",53,7
"1076",27,75
"1077",73,10
"1078",36,5
"1079",76,5
"1080",31,50
"1081",58,20
"1082",31,50
"1083",67,40
"1084",29,25
"1085",59,15
"1086",31,10
"1087",47,40
"1088",46,60
"1089",59,20
"1090",69,50
"1091",64,10
"1092",63,15
"1093",40,50
"1094",68,45
"1095",52,60
"1096",60,34
"1097",69,50
"1098",24,22
"1099",53,60
"1100",56,8
"1101",39,15
"1102",55,30
"1103",64,12
"1104",51,25
"1105",69,15
"1106",50,50
"1107",81,20
"1108",40,12
"1109",59,30
"1110",66,15
"1111",41,50
"1112",53,70
"1113",42,20
"1114",65,5
"1115",56,100
"1116",65,30
"1117",57,10
"1118",51,25
"1119",35,40
"1120",61,25
"1121",44,150
"1122",60,70
"1123",67,25
"1124",58,15
"1125",66,35
"1126",72,10
"1127",67,25
"1128",67,100
"1129",31,80
"1130",66,5
"1131",57,15
"1132",64,35
"1133",69,25
"1134",55,15
"1135",61,25
"1136",66,10
"1137",80,5
"1138",69,30
"1139",63,2
"1140",62,200
"1141",66,30
"1142",72,12
"1143",64,100
"1144",88,20
"1145",58,10
"1146",65,25
"1147",58,25
"1148",74,25
"1149",53,100
"1150",64,200
"1151",79,25
"1152",62,24
"1153",34,30
"1154",67,50
"1155",55,20
"1156",26,12
"1157",65,60
"1158",44,50
"1159",60,45
"1160",50,20
"1161",28,3
"1162",51,10
"1163",61,350
"1164",44,30
"1165",33,15
"1166",36,25
"1167",16,120
"1168",22,3
"1169",51,40
"1170",41,50
"1171",45,30
"1172",70,4
"1173",44,25
"1174",76,30
"1175",47,6
"1176",65,22
"1177",30,12
"1178",47,25
"1179",69,40
"1180",62,25
"1181",45,5
"1182",61,30
"1183",27,5
"1184",60,40
"1185",71,24
"1186",64,90
"1187",48,20
"1188",68,60
"1189",56,50
"1190",55,60
"1191",50,25
"1192",45,60
"1193",51,6
"1194",18,13
"1195",62,40
"1196",27,15
"1197",42,32
"1198",67,20
"1199",57,40
"1200",62,20
"1201",57,9
"1202",65,50
"1203",49,30
"1204",52,25
"1205",60,10
"1206",51,50
"1207",57,15
"1208",54,40
"1209",31,25
"1210",73,12
"1211",31,52
"1212",78,100
"1213",65,55
"1214",61,25
"1215",31,15
"1216",34,15
"1217",62,12
"1218",69,20
"1219",30,25
"1220",69,70
"1221",52,12
"1222",70,75
"1223",61,75
"1224",27,15
"1225",71,50
"1226",67,50
"1227",60,170
"1228",32,8
"1229",57,12
"1230",59,12
"1231",52,6
"1232",20,20
"1233",63,20
"1234",34,20
"1235",49,20
"1236",61,10
"1237",25,15
"1238",53,20
"1239",63,20
"1240",42,85
"1241",55,30
"1242",52,25
"1243",50,50
"1244",22,20
"1245",52,50
"1246",65,18
"1247",36,20
"1248",17,85
"1249",68,100
"1250",50,80
"1251",56,35
"1252",36,10
"1253",42,30
"1254",58,25
"1255",60,25
"1256",56,6
"1257",41,50
"1258",59,55
"1259",68,20
"1260",50,80
"1261",30,15
"1262",76,10
"1263",63,60
"1264",28,45
"1265",75,20
"1266",58,70
"1267",64,50
"1268",54,15
"1269",22,30
"1270",24,20
"1271",21,20
"1272",63,120
"1273",50,100
"1274",67,20
"1275",73,20
"1276",45,80
"1277",41,40
"1278",57,75
"1279",71,100
"1280",69,20
"1281",74,100
"1282",54,12
"1283",24,15
"1284",46,15
"1285",56,12
"1286",30,30
"1287",50,3
"1288",38,8
"1289",47,6
"1290",65,15
"1291",44,30
"1292",37,55
"1293",55,40
"1294",31,5
"1295",60,24
"1296",43,20
"1297",64,60
"1298",45,50
"1299",22,120
"1300",65,30
"1301",27,25
"1302",58,50
"1303",36,10
"1304",49,25
"1305",67,45
"1306",22,20
"1307",52,50
"1308",72,25
"1309",28,6
"1310",39,30
