"","Fiction","Other","Romantic","Suspense"
"652",2,3,0,3
"653",10,1,0,3
"654",0,1,10,0
"655",8,2,0,6
"656",3,0,0,1
"657",11,0,0,34
"658",20,0,0,0
"660",3,0,0,4
"661",7,2,0,3
"662",13,4,0,6
"663",21,2,0,3
"664",33,1,0,1
"665",8,4,0,3
"666",21,3,10,45
"667",7,1,0,4
"668",4,0,0,5
"669",13,2,0,0
"670",17,1,0,8
"671",17,1,0,0
"672",15,0,0,5
"673",21,0,1,7
"674",9,0,0,19
"675",13,1,3,0
"676",17,3,0,0
"678",17,1,0,1
"679",3,3,4,12
"680",2,0,0,0
"681",1,0,0,0
"682",62,6,0,13
"683",3,1,0,3
"684",1,0,0,0
"685",9,0,0,2
"686",38,2,0,26
"687",54,6,0,7
"688",25,2,0,1
"689",6,0,0,2
"690",5,4,0,2
"691",9,0,1,6
"692",5,1,0,15
"693",18,1,0,0
"694",5,0,0,10
"695",10,2,0,2
"696",35,4,0,32
"697",3,0,0,0
"698",36,2,0,6
"699",4,2,0,2
"700",12,1,0,15
"701",8,6,14,26
"702",13,1,0,3
"703",6,1,0,0
"704",2,1,0,0
"705",8,1,0,0
"706",18,2,0,0
"707",12,2,0,9
"708",3,0,0,0
"709",8,2,0,13
"710",23,0,0,16
"711",12,1,0,1
"712",7,1,0,0
"713",14,0,0,4
"714",31,2,0,0
"716",16,1,2,3
"717",33,2,0,3
"718",7,1,0,5
"720",42,6,2,64
"721",3,1,0,10
"722",10,2,0,6
"723",36,4,3,58
"724",21,3,5,11
"726",4,8,0,16
"727",6,0,0,0
"728",6,1,0,0
"729",9,1,0,15
"730",5,0,1,0
"731",14,3,0,4
"732",3,1,0,6
"733",19,1,0,3
"735",4,0,0,1
"736",41,0,0,2
"737",2,0,0,5
"738",4,3,9,39
"739",28,7,0,20
"740",29,3,0,13
"741",4,1,0,4
"742",5,1,0,5
"743",7,0,0,2
"744",1,0,0,35
"745",31,1,0,24
"746",8,1,0,26
"747",4,4,0,1
"748",14,5,1,28
"749",6,5,0,24
"750",16,1,0,7
"751",2,0,0,0
"752",21,2,0,1
"753",39,2,0,10
"754",45,5,0,1
"755",15,0,1,4
"756",5,1,0,14
"757",6,1,0,0
"758",4,1,0,6
"759",30,2,0,2
"760",15,2,0,1
"761",8,0,0,0
"762",0,3,0,0
"763",24,3,0,8
"764",37,4,7,14
"765",1,0,0,0
"766",1,0,0,0
"767",3,0,0,6
"768",11,0,0,1
"769",3,0,0,0
"771",15,2,0,2
"773",9,2,1,5
"774",41,1,0,13
"776",0,2,0,1
"777",1,0,0,0
"778",28,2,0,1
"779",17,0,0,6
"780",13,4,0,6
"781",16,1,0,5
"783",6,2,0,0
"784",28,3,1,10
"785",78,3,1,35
"786",21,1,0,3
"787",3,0,0,1
"788",16,2,0,1
"789",6,0,0,1
"790",21,0,0,1
"791",32,3,0,6
"792",5,3,0,0
"793",7,0,0,0
"794",21,1,0,3
"795",17,3,0,11
"796",4,0,0,2
"797",10,1,0,0
"799",4,0,0,0
"801",16,2,1,3
"802",14,2,0,11
"803",11,1,5,59
"804",5,1,0,6
"805",7,1,0,1
"806",8,0,0,33
"807",14,1,0,1
"808",31,2,0,32
"809",10,5,2,2
"810",15,3,21,2
"811",20,1,0,8
"812",14,2,2,31
"813",2,3,0,0
"815",33,6,0,75
"816",36,3,4,31
